ID,Word 1,Word 2,PoS,participant 1,participant 2,participant 3,participant 4,participant 5,participant 6,participant 7,participant 8,participant 9,participant 10
122,plaisir,football,nouns,0,1,1,0,1,1,0,0,0,3
123,richesse,pauvreté,nouns,0,2,3,1,2,1,4,2,1,3
124,taxi,autobus,nouns,1,3,3,3,2,4,5,3,3,4
125,alcool,gin,nouns,5,4,4,3,3,4,5,2,4,4
126,coeur,chirurgie,nouns,2,4,3,1,2,1,1,1,1,2
127,élégance,style,nouns,6,6,6,4,5,5,5,3,4,4
128,bétail,boeuf,nouns,5,5,4,5,5,4,4,4,5,4
129,tâche,autoroute,nouns,0,1,0,0,0,0,0,0,0,0
130,nuit,jour,nouns,1,2,3,1,2,2,5,3,1,4
131,réceptacle,souris,nouns,0,1,0,0,0,0,0,0,0,0
132,jeu,tour,nouns,3,4,0,3,2,3,1,2,3,3
133,bétail,yaourt,nouns,0,0,0,0,1,0,0,0,0,2
134,autruche,verger,nouns,0,0,1,0,0,0,0,0,0,0
135,peuple,ballon,nouns,0,0,0,0,0,0,0,0,0,0
136,porte,cuisine,nouns,0,2,1,0,2,2,2,0,0,0
137,affaire,industrie,nouns,4,4,3,4,3,1,2,1,3,4
138,pollution,président,nouns,0,2,1,0,1,0,0,1,0,0
139,mer,océan,nouns,5,5,5,5,4,3,5,5,6,5
140,chapelle,câble,nouns,0,1,0,0,0,0,0,0,0,0
141,habit,bouton,nouns,3,3,2,2,4,2,2,1,1,2
142,pont,souris,nouns,0,1,0,0,0,0,0,0,0,0
143,déni,confession,nouns,0,3,2,2,1,1,4,0,1,3
144,ballon,canon,nouns,0,1,0,0,0,4,1,3,0,0
145,fille,enfant,nouns,3,4,1,2,3,5,4,2,4,4
146,anatomie,biologie,nouns,4,5,1,3,4,4,4,3,2,4
147,yaourt,miel,nouns,1,4,1,2,2,1,4,2,1,2
148,maison,grange,nouns,1,4,2,2,4,1,4,3,2,2
149,dîner,soupe,nouns,2,5,2,3,4,3,4,2,3,4
150,accident,catastrophe,nouns,3,6,5,6,5,6,4,3,5,5
151,courbe,angle,nouns,1,5,2,2,3,2,4,2,2,3
152,personnage,personne,nouns,5,6,4,5,6,3,5,4,5,4
153,basket,baseball,nouns,1,4,3,4,4,2,4,2,3,4
154,symbole,signe,nouns,6,5,5,6,6,6,5,6,5,5
155,roi,princesse,nouns,2,4,3,3,4,3,4,3,2,5
156,couple,paire,nouns,6,6,6,5,6,6,5,6,6,6
157,photophone,homophone,nouns,0,4,0,0,0,0,0,1,0,0
158,cible,flèche,nouns,1,4,3,3,3,3,1,2,2,4
159,prêtre,moine,nouns,5,6,6,5,5,5,4,4,5,5
160,étudiant,élève,nouns,6,6,6,4,6,5,6,6,6,6
161,bébé,fille,nouns,0,4,1,3,3,4,4,2,2,3
162,pomme,sauce,nouns,0,4,1,2,1,1,2,1,1,2
163,prince,roi,nouns,5,5,5,4,4,3,4,4,4,5
164,présence,porte,nouns,0,2,1,0,0,0,0,0,0,0
165,lit,canapé,nouns,3,4,3,4,3,4,4,3,3,3
166,geyser,source,nouns,3,5,3,4,4,5,3,4,4,4
167,chiffre,nombre,nouns,5,6,6,5,5,5,5,4,5,6
168,hashtag,sujet,nouns,2,6,0,4,4,3,4,3,4,4
169,confiance,soi,nouns,0,4,4,2,1,1,2,1,1,2
170,docteur,orthodontiste,nouns,4,4,3,4,4,4,4,2,4,3
171,prison,choix,nouns,0,2,0,0,0,0,0,1,0,0
172,voiture,ascenseur,nouns,1,2,0,1,0,0,1,2,0,0
173,appareil photo,président,nouns,0,0,0,0,0,0,0,1,0,0
174,infection,inflexion,nouns,0,1,0,1,0,0,0,1,0,0
175,semis,feuille,nouns,1,4,0,0,2,1,1,1,1,3
176,condensateur,diode,nouns,1,4,0,3,3,0,3,3,1,1
177,raquette,balle,nouns,1,4,3,2,3,2,1,3,1,3
178,papier,carton,nouns,4,4,5,4,4,3,4,4,4,5
179,démon,ange,nouns,1,2,3,0,2,2,4,2,1,4
180,lit,chaise,nouns,1,3,1,2,2,1,4,2,2,3
181,or,zinc,nouns,2,3,1,3,2,2,4,3,3,3
182,couffin,berceau,nouns,6,6,6,5,6,5,6,6,6,6
183,fonction,compilateur,nouns,1,4,0,3,2,4,2,2,2,0
184,papa,mère,nouns,0,3,3,2,2,4,4,3,4,4
185,parade,défilé,nouns,6,6,6,6,6,5,6,6,6,6
186,maladie,infection,nouns,4,5,5,5,6,5,4,4,5,5
187,corps,estomac,nouns,3,4,3,3,2,2,2,3,3,4
188,chat,animal de compagnie,nouns,3,5,5,4,4,5,4,4,4,4
189,vaisseau,veine,nouns,6,5,3,6,5,5,5,5,4,4
190,mère,gardien,nouns,1,3,0,3,1,0,1,1,1,2
191,vexillologie,drapeau,nouns,5,5,0,0,5,3,1,3,2,5
192,sentiment,intuition,nouns,5,5,0,4,5,6,3,3,5,4
193,atome,carbone,nouns,3,4,3,2,4,3,4,2,3,3
194,opéra,cinéma,nouns,4,5,3,3,3,2,4,3,3,4
195,hymne,paille,nouns,0,2,0,0,0,0,0,0,0,0
196,logique,arithmétique,nouns,4,5,4,4,5,3,4,3,4,4
197,matrice,vecteur,nouns,2,5,3,4,4,3,5,4,4,3
198,pomme,soleil,nouns,0,2,0,1,1,0,1,0,0,1
199,magistrat,juge,nouns,5,6,6,5,4,4,4,6,6,5
200,ongle,pouce,nouns,2,4,3,3,3,3,2,3,2,3
201,dollar,millionnaire,nouns,1,4,2,2,2,1,1,3,1,3
202,affectation,tâche,nouns,5,4,4,4,1,4,2,1,2,3
203,sculpture,statue,nouns,6,6,6,6,5,4,4,5,6,4
204,ouvrier,mécanicien,nouns,2,5,3,4,4,5,3,2,4,4
205,idée,schéma,nouns,1,4,3,4,2,2,3,2,4,3
206,protéine,poignée,nouns,0,2,0,0,0,0,0,0,0,0
207,avionique,aéronautique,nouns,6,6,3,6,5,3,4,3,5,5
208,mètre,yard,nouns,2,5,4,4,5,4,4,4,3,5
209,vêtement,tissu,nouns,2,4,4,3,4,4,3,3,2,3
210,archevêque,évêque,nouns,5,6,5,5,4,4,5,4,4,5
211,canyon,vallée,nouns,2,6,3,5,5,3,4,3,6,5
212,fleur,buisson,nouns,1,5,2,3,2,3,4,2,3,3
213,xénophobie,racisme,nouns,4,6,5,6,6,6,5,5,5,6
214,lit,berceau,nouns,2,5,3,5,4,5,4,4,5,4
215,pistolet,couteau,nouns,1,4,3,3,2,4,4,3,2,3
216,orage,ouragan,nouns,3,4,4,4,3,4,3,3,5,3
217,carte mère,carte graphique,nouns,2,5,4,5,2,4,4,3,3,4
218,pathologie,hématologie,nouns,2,5,2,2,3,5,2,2,1,3
219,ciel,univers,nouns,1,5,3,4,3,3,3,2,4,3
220,homme,mari,nouns,4,5,3,4,4,6,4,2,5,4
221,affiche,papier,nouns,3,5,4,2,4,4,3,2,3,4
222,article,journal,nouns,3,5,5,2,4,5,4,3,3,4
223,altitude,conversion,nouns,0,2,0,0,0,0,1,1,0,0
224,milliardaire,sans abri,nouns,0,1,2,1,1,1,4,1,1,3
225,riz,haricot,nouns,1,3,3,1,2,2,4,2,1,3
226,chaise,banc,nouns,3,3,3,4,4,3,5,3,4,4
227,effort,difficulté,nouns,4,4,5,3,4,3,3,3,3,4
228,bouche,dent,nouns,2,3,4,3,3,4,2,3,3,3
229,suffixe,affixe,nouns,2,3,3,5,4,5,5,5,3,5
230,oiseau,dinde,nouns,4,4,3,3,2,4,4,4,4,4
231,calendrier,vacances,nouns,1,3,4,1,2,3,2,3,1,3
232,préjudice,chauvin,nouns,2,1,0,0,0,0,0,2,0,0
233,vélo,chambre à coucher,nouns,0,1,0,0,0,0,0,0,0,0
234,bonheur,paix,nouns,3,3,4,2,3,4,2,5,3,4
235,canapé,chaise,nouns,3,3,4,3,3,3,4,4,4,4
236,vêtement,penderie,nouns,1,3,5,3,2,1,3,3,3,3
237,père,dieu,nouns,1,4,1,3,1,2,5,2,6,2
238,pollution,atmosphère,nouns,2,5,3,2,2,2,2,2,2,3
239,vitamine,fer,nouns,4,4,1,2,2,3,4,2,1,4
240,pièce,cellule,nouns,4,4,2,3,4,4,4,5,3,3
241,école,droit,nouns,3,3,0,0,2,2,1,2,1,3
242,empereur,gouverneur,nouns,5,5,2,3,2,3,4,4,4,5
243,dîner,petit déjeuner,nouns,4,4,3,3,3,3,5,3,2,4
244,acoustique,son,nouns,4,5,5,4,4,5,2,5,5,5
245,prince,biscuit,nouns,4,6,0,0,1,3,4,1,0,0
246,chimie,théorie,nouns,1,3,3,1,2,1,2,1,0,4
247,communication,télévision,nouns,2,4,2,3,2,3,2,3,2,3
248,neige,glace,nouns,4,4,5,3,5,4,5,4,5,4
249,livre,sujet,nouns,0,3,2,1,1,1,1,1,1,3
250,pierre,bois,nouns,1,3,2,1,1,2,4,1,1,2
251,repas,dîner,nouns,3,4,5,3,4,5,4,5,5,4
252,duché,principauté,nouns,5,5,6,5,3,4,3,4,4,5
253,céramique,poterie,nouns,6,4,6,5,4,3,4,5,6,4
254,moulin,grain,nouns,1,4,4,2,2,2,1,3,1,3
255,alphabet,stylo,nouns,0,3,3,1,1,0,0,2,0,1
256,chauffeur,pilote,nouns,5,6,4,5,5,2,4,5,4,4
257,nuit,chapitre,nouns,0,2,0,0,0,0,0,0,0,0
258,météo,vague,nouns,0,2,1,0,1,0,0,2,1,2
259,argent,perle,nouns,0,2,3,1,2,1,1,2,0,4
260,salle de bain,chambre à coucher,nouns,1,3,4,1,2,3,3,2,2,5
261,os,cheville,nouns,0,4,2,1,2,2,3,3,3,3
262,planète,étoile,nouns,6,4,4,2,2,3,4,2,5,4
263,style,mode,nouns,5,5,5,4,4,2,3,6,6,5
264,rue,ruelle,nouns,6,5,5,4,4,5,5,5,5,5
265,attention,conscience,nouns,3,3,3,5,1,4,5,3,4,4
266,langue,gorge,nouns,2,3,3,2,2,2,3,3,1,3
267,dinosaure,éléphant,nouns,0,3,2,2,1,2,3,1,1,2
268,accident,urgence,nouns,2,5,5,4,3,1,2,4,2,3
269,voyage,conquête,nouns,2,4,4,3,2,4,3,2,2,3
270,tâche,travail,nouns,4,6,4,5,6,4,4,5,5,4
271,homme,père,nouns,2,5,3,3,3,5,3,4,1,4
272,femme,homme,nouns,2,4,3,2,1,4,4,2,1,5
273,lit,chambre à coucher,nouns,2,4,5,3,2,3,2,3,2,4
274,plage,récif,nouns,3,3,4,2,3,1,2,2,2,3
275,plage,côte,nouns,4,4,4,4,3,3,4,4,4,4
276,tennis,statistique,nouns,0,2,0,0,1,0,0,1,0,1
277,organe,foie,nouns,3,4,3,2,3,4,4,4,2,4
278,richesse,renommée,nouns,2,3,4,3,1,1,3,2,3,3
279,valeur,taux,nouns,2,4,5,5,3,4,4,5,3,5
280,sous-vêtement,corps,nouns,0,3,4,1,1,1,1,3,0,3
281,avocat,juriste,nouns,2,6,4,4,5,4,5,4,5,4
282,acétylcholine,iris,nouns,0,,0,2,1,1,0,1,0,2
283,lac,marais,nouns,3,4,2,4,3,2,4,2,2,4
284,lampe,génie,nouns,0,4,3,2,2,2,1,1,0,4
285,serviteur,esclave,nouns,4,4,6,4,2,4,5,5,4,5
286,marine,armée,nouns,5,5,4,3,4,2,5,4,3,4
287,bas,côté,nouns,3,3,2,2,1,1,3,4,1,4
288,boîte,chapeau,nouns,0,3,3,2,1,1,0,1,0,2
289,molécule,atome,nouns,5,5,5,4,2,3,4,4,3,5
290,main,pouce,nouns,2,4,4,3,2,4,3,3,2,4
291,enseignant,rabbin,nouns,0,3,3,3,0,1,2,1,3,3
292,lac,nuage,nouns,0,1,2,1,0,1,1,1,0,1
293,garçon,gosse,nouns,3,6,6,4,4,4,4,4,5,4
294,ordinateur,machine,nouns,5,5,4,4,4,5,4,4,6,5
295,trou,femme,nouns,0,0,1,1,0,0,0,0,0,0
296,école,classe,nouns,3,5,4,3,3,4,4,3,5,5
297,mouche,fourmi,nouns,1,3,4,2,1,3,4,2,1,4
298,vêtement,manteau,nouns,3,4,4,3,3,3,4,3,4,4
299,sang,moelle,nouns,2,3,3,4,2,2,3,2,1,3
300,agonie,chagrin,nouns,0,3,4,2,2,2,2,4,2,4
301,théorème,théorie,nouns,3,5,4,2,5,5,4,4,5,5
302,pomme,confiserie,nouns,0,3,2,1,1,3,2,1,2,3
303,bois,papier,nouns,2,3,3,2,2,4,4,1,2,3
304,discussion,débat,nouns,4,6,5,5,5,6,5,5,6,5
305,poulet,steak,nouns,1,3,2,2,1,4,5,1,2,3
306,fraternité,porte,nouns,0,0,0,0,0,0,0,0,0,0
307,pièce,lit,nouns,0,3,1,1,1,2,1,1,0,1
308,union,somme,nouns,3,3,0,4,5,4,3,4,4,4
309,alcool,cocktail,nouns,4,4,4,3,3,3,4,4,3,5
310,honoraire,salaire,nouns,5,5,4,5,5,4,5,4,5,4
311,sœur,frère,nouns,1,3,4,2,2,4,5,3,2,5
312,typhon,cyclone,nouns,3,6,5,6,4,5,5,5,6,5
313,écrivain,don,nouns,0,0,0,1,0,0,0,0,0,4
314,montagne,corniche,nouns,0,2,2,3,2,2,2,0,3,4
315,bouteille,récipient,nouns,5,4,3,5,4,4,4,4,4,5
316,bol,queue,nouns,0,1,0,0,0,0,0,0,0,0
317,canonnière,côte,nouns,0,2,0,0,1,0,1,0,0,0
318,jupe,montre,nouns,0,1,1,0,0,1,2,0,0,2
319,eau,sel,nouns,0,3,2,1,0,1,2,0,1,3
320,population,personne,nouns,4,5,4,4,6,4,2,4,5,5
321,mot,page,nouns,1,3,3,3,3,2,2,2,2,2
322,note,devoir,nouns,0,3,3,3,3,3,2,2,3,4
323,chef,manager,nouns,0,6,5,5,5,5,4,5,5,6
324,pull-over,veste,nouns,5,4,3,3,1,4,4,4,4,5
325,nez,tête,nouns,1,4,3,2,3,3,3,3,2,3
326,jeu,action,nouns,2,5,2,4,4,5,1,2,3,4
327,câble,corde,nouns,2,5,4,5,5,5,5,5,4,5
328,cogitation,télescope,nouns,0,0,0,0,0,0,0,0,0,1
329,combinaison,union,nouns,5,3,0,5,6,5,4,6,6,4
330,actrice,acteur,nouns,6,5,3,4,5,5,5,5,5,5
331,rabbin,ministre,nouns,0,1,0,3,0,1,2,1,4,3
332,copain,compagnon,nouns,6,6,4,5,6,4,5,6,6,5
333,créateur,fabricant,nouns,5,5,4,4,6,5,6,5,6,5
334,lit,couverture,nouns,0,4,3,2,3,3,2,2,1,4
335,branche,bras,nouns,0,4,0,4,1,0,3,1,4,0
336,légion,honneur,nouns,0,3,3,2,1,3,0,2,1,4
337,avion,jet,nouns,6,5,5,4,5,4,4,5,5,0
338,homme,vainqueur,nouns,0,3,1,1,2,2,1,1,0,2
339,ananas,smartphone,nouns,0,0,0,0,0,0,0,0,0,0
340,assiette,bol,nouns,1,4,3,1,1,2,5,4,3,5
341,herbe,mousse,nouns,1,4,3,2,2,3,3,2,4,4
342,république,duc,nouns,0,2,1,0,0,0,1,0,1,1
343,lait,jus,nouns,0,3,1,2,1,3,4,3,2,4
344,enseignant,professeur,nouns,6,6,6,6,6,6,6,6,6,6
345,népotisme,roi,nouns,1,3,2,1,3,3,1,1,2,5
346,oiseau,faucon,nouns,4,4,3,4,4,4,4,4,5,5
347,vallée,dépression,nouns,0,3,0,3,0,3,0,0,3,0
348,machine,moteur,nouns,3,5,4,4,3,4,3,2,4,3
349,personne,centime,nouns,0,1,0,0,0,0,0,0,0,0
350,ouvrier,bureau,nouns,0,3,1,1,0,2,0,0,0,2
351,cryptogramme,symbole,nouns,5,5,5,3,4,4,4,4,5,5
352,appartement,meuble,nouns,0,3,3,2,1,3,2,2,1,3
353,boîte,cigare,nouns,0,3,3,1,1,1,0,1,1,3
354,désert,dune,nouns,1,5,4,4,3,4,3,2,3,4
355,citron,thé,nouns,0,4,2,1,1,2,1,1,1,3
356,chêne,érable,nouns,3,4,3,3,2,5,5,2,4,4
357,flûte,musique,nouns,1,4,3,3,3,3,3,2,2,3
358,argent,liquide,nouns,2,3,4,4,2,5,5,3,6,5
359,sourcil,œil,nouns,1,5,3,2,2,3,2,2,3,2
360,épargne,épargnant,nouns,1,4,3,2,4,4,2,4,1,4
361,hanche,lèvre,nouns,1,3,0,0,0,3,0,1,1,2
362,magma,volcan,nouns,0,4,3,3,2,1,2,3,2,5
363,pipe,cigare,nouns,3,4,3,3,2,3,5,2,3,4
364,anthropologie,archéologie,nouns,1,3,4,4,2,4,3,2,1,4
365,colline,falaise,nouns,3,2,2,3,3,3,3,2,5,3
366,jeu,amusement,nouns,3,5,4,4,6,5,5,5,6,5
367,profondeur,magnitude,nouns,1,3,1,2,3,3,3,0,2,0
368,frère,âme,nouns,0,2,0,2,0,1,1,0,0,0
369,préjugé,opinion,nouns,2,5,6,3,5,4,5,2,4,4
370,rythme,mélodie,nouns,3,4,6,3,4,5,4,3,4,5
371,formule,registre,nouns,1,4,1,2,0,4,0,1,4,1
372,évêque,musulman,nouns,0,3,1,2,1,3,3,0,1,2
373,vêtement,veste,nouns,3,4,2,3,2,4,4,3,5,4
374,nez,bouche,nouns,1,4,3,2,2,3,4,3,1,3
375,brin,fil,nouns,1,4,4,4,1,3,1,5,6,5
376,voie-rapide,route,nouns,4,5,3,4,4,4,3,2,5,4
377,pesticide,parasite,nouns,0,4,3,2,1,3,1,2,1,4
378,tasse,bocal,nouns,1,4,2,2,2,4,3,3,3,4
379,rue,voiture,nouns,0,3,3,1,1,1,1,1,0,2
380,capitaine,marin,nouns,0,5,4,2,4,4,3,3,5,4
381,théorie,hypothèse,nouns,6,4,4,3,5,6,4,6,6,5
382,orthodontiste,dentiste,nouns,5,5,5,6,4,5,4,5,6,5
383,chargeur,disque,nouns,0,3,0,2,0,2,2,0,1,2
384,joue,langue,nouns,1,3,3,1,1,3,2,2,1,3
385,soldat,paix,nouns,0,3,2,2,0,2,1,1,0,3
386,film,théâtre,nouns,2,4,2,1,3,2,4,2,2,3
387,cancer,maladie,nouns,3,5,3,4,4,5,5,4,5,4
388,club,société,nouns,1,6,5,4,4,4,4,1,6,4
389,attitude,confiance,nouns,0,4,0,3,0,3,2,2,4,5
390,vélo,revêtement,nouns,0,1,2,1,0,0,0,0,0,0
391,criminalité,attaque,nouns,0,5,3,2,4,0,3,2,2,3
392,queue,arrière,nouns,4,4,2,1,1,1,5,4,4,4
393,sergent,pistolet,nouns,0,3,2,1,1,0,1,1,0,2
394,trou,accord,nouns,0,0,0,0,0,0,0,0,0,0
395,enfant,garçon,nouns,4,6,4,4,3,5,4,3,5,4
396,tête,ongle,nouns,0,3,0,0,1,2,1,1,1,3
397,livre,article,nouns,0,4,3,1,4,3,4,2,3,4
398,livre,texte,nouns,3,4,4,5,4,4,4,3,4,5
399,bible,hymne,nouns,0,1,0,1,0,1,0,0,2,2
400,femme,paille,nouns,0,0,0,0,0,0,0,0,0,0
401,raquette,bruit,nouns,0,1,1,0,0,0,0,0,0,1
402,semestre,trimestre,nouns,3,5,4,4,4,3,5,3,4,5
403,tâche,paille,nouns,0,0,0,0,0,0,0,0,0,0
404,herbe,lame,nouns,0,0,1,1,0,0,0,0,0,0
405,lit,meuble,nouns,3,5,1,2,3,4,4,2,4,4
406,guitare,batterie,nouns,0,4,3,2,2,3,4,2,2,4
407,aéroport,pièce,nouns,0,0,0,0,0,1,1,0,0,0
408,fleur,bulbe,nouns,1,5,3,2,3,2,3,1,4,4
409,carte,graphique,nouns,0,4,3,2,1,2,0,0,4,4
410,circoncision,prépuce,nouns,0,5,3,2,2,4,1,2,1,3
411,huile,vison,nouns,0,1,0,0,0,0,0,0,0,1
